PID,WORKSPACE,Import_Index,PARENT,CMODEL,SEQUENCE,OBJ,TRANSCRPT,THUMBNAIL,Title,Alternative_Titles,Personal_Names~Roles,Corporate_Names~Roles,Abstract,Index_Date,Date_Issued,Date_Captured,Other_Date~Display_Label,Publisher,Place_Of_Publication,Public_Notes~Types,Notes~Display_Label,Dates_as_Notes~Display_Label,Citations,Table_of_Contents,LCSH_Subjects,Subjects_Names~Types,Subjects_Geographic,Subjects_Temporal,Keywords,Coordinate,Related_Items~Types,Type_of_Resource~AuthorityURI,Genre~AuthorityURI,Extent,Form~AuthorityURI,MIME_Type,Digital_Origin,Classifications~Authorities,Language_Names~Codes,Local_Identifier,Handle,Physical_Location,Shelf_Locator,Access_Condition,Import_Source,Primary_Sort,Hidden_Creator,Pull_Quotes,Private_Notes~Types
grinnell:102,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_102_MODS.log,1,grinnell:social-justice,islandora:sp_pdf,,https://digital.grinnell.edu/islandora/object/grinnell:102,,,"They Gotta Deal With It: Individual Rights, Public Welfare, and the Regulation of Deviance in Public Spaces","Individual Rights, Public Welfare, and the Regulation of Deviance in Public Spaces","Sagin, Hannah (Class of 2011)",Grinnell College. Peace Studies Program ~ supporting host,Hannah Sagin's submission to the 2012 Peace Studies Student Conference,2012,,,2012-03,Grinnell College,,,,,,,Street vendors | Deviant behavior | Public spaces | Occupy movement,,,,,,Peace Studies Student Conference ~ host | Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Student Scholarship ~ host,text,essay ~ https://www.loc.gov/standards/valuelist/marcgt.html,10 pages,,application/pdf,born digital,,English ~ eng,grinnell:102,http://hdl.handle.net/11084/102,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10365,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10365_MODS.log,2,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10365,,,Photo of James Kofi Annan,,,Grinnell Prize / Innovation Fund Office ~ supporting host,Photograph of James Kofi Annan,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,"Annan, James Kofi",Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10365,http://hdl.handle.net/11084/10365,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10366,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10366_MODS.log,3,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10366,,,Photo of panelists at the symposium,,,Grinnell Prize / Innovation Fund Office ~ supporting host,Photo of panelists at the symposium,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,"Annan, James Kofi | Purcell, Sarah J. (Faculty/Staff) ",Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10366,http://hdl.handle.net/11084/10366,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10367,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10367_MODS.log,4,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10367,,,Photo of panelists Eric Glustrom and Boris Bulayev at the symposium,,,Grinnell Prize / Innovation Fund Office ~ supporting host,Photo of panelists at the symposium,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,"Bulayev, Boris | Glustrom, Eric",Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10367,http://hdl.handle.net/11084/10367,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10368,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10368_MODS.log,5,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10368,,,Photo of panelists and attendees at the symposium,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,,Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10368,http://hdl.handle.net/11084/10368,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10369,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10369_MODS.log,6,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10369,,,Candid photo of James Kofi Annan in a classroom discussion,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,,Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10369,http://hdl.handle.net/11084/10369,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10370,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10370_MODS.log,7,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10370,,,Candid photo of three symposium attendees in a relaxing disucussion,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,,Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10370,http://hdl.handle.net/11084/10370,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10371,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10371_MODS.log,8,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10371,,,Candid photo of symposium attendees in a small discussion group in JRC 101,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,,Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10371,http://hdl.handle.net/11084/10371,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10372,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10372_MODS.log,9,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10372,,,Photo of Raynard Kington speaking in Herrick Chapel during the symposium,,,Grinnell Prize / Innovation Fund Office ~ supporting host,Photo of Raynard Kington speaking in Herrick Chapel during the symposium,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,"Kington, Raynard (Faculty/Staff) ",Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10372,http://hdl.handle.net/11084/10372,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10373,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10373_MODS.log,10,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10373,,,Photo of James Kofi Annan speaking in Herrick Chapel during the symposium,,,Grinnell Prize / Innovation Fund Office ~ supporting host,Photo of James Kofi Annan speaking in Herrick Chapel during the symposium,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,"Annan, James Kofi",Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10373,http://hdl.handle.net/11084/10373,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10374,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10374_MODS.log,11,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10374,,,Photo of George Drake presenting an award to reciepient Melissa Weintraub,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,"Drake, George A. (Faculty/Staff) | Weintraub, Melissa",Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10374,http://hdl.handle.net/11084/10374,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10375,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10375_MODS.log,12,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10375,,,Photo of two prize recipients accepting awards in Herrick Chapel,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,"Bulayev, Boris | Glustrom, Eric | Sanning, Susan (Faculty/Staff)",Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10375,http://hdl.handle.net/11084/10375,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10376,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10376_MODS.log,13,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10376,,,Candid photo of attendees and prize recipients gathering in Herrick Chapel,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,,Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10376,http://hdl.handle.net/11084/10376,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10377,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10377_MODS.log,14,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10377,,,Candid photo of symposium attendees mingling in Herrick Chapel,,,Grinnell Prize / Innovation Fund Office ~ supporting host,,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,,Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10377,http://hdl.handle.net/11084/10377,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10378,/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-justice/grinnell_10378_MODS.log,15,grinnell:social-justice,islandora:sp_basic_image,,https://digital.grinnell.edu/islandora/object/grinnell:10378,,,Group photo of four prize recipients taken in Herrick Chapel,,,Grinnell Prize / Innovation Fund Office ~ supporting host,Group photo of four prize recipients taken in Herrick Chapel,2011,,,2011-10,Grinnell College,,,,,,,Grinnell Young Innovator for Social justice Prize | Social justice | Congresses | Pictorial works ,,Grinnell (Iowa),Twenty tens,,,Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Grinnell Young Innovator for Social Justice Prize. ~ host,still image,,1 photo,,image/jpeg,born digital,,English ~ eng,grinnell:10378,http://hdl.handle.net/11084/10378,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
